avg score	scores	id	question	answer	response
b	['b', 'b', 'b', 'e', 'b']	95	what is another part he supplies ?	break-pads	one million break-pads	[('b', 'A2P887RDKZ27ZF', 1991), ('b', 'A399GYOD60WD7M', 672), ('b', 'A31CNXHGR49DJR', 86), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 192)]
b	['e', 'b', 'b', 'b', 'b']	96	how many times was he observed ?	several times	several times	[('e', 'A3O9WZNVQSQC1S', 46), ('b', 'A2P887RDKZ27ZF', 230), ('b', 'A34DYM8J0X5VK', 267), ('b', 'A3T9WZOUQGE2UW', 109), ('b', 'A399GYOD60WD7M', 231)]
b	['c', 'b', 'a', 'b', 'b']	97	what award was it ?	nobel prize in medicine	nobel prize	[('c', 'A3O9WZNVQSQC1S', 131), ('b', 'A1BFLMCFOAYEVI', 234), ('a', 'A34DYM8J0X5VK', 88), ('b', 'A31CNXHGR49DJR', 696), ('b', 'A2P887RDKZ27ZF', 1526)]
b	['b', 'b', 'b', 'b', 'b']	100	what did scheibler invent ?	the tonometer	tonometer	[('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A2P887RDKZ27ZF', 220), ('b', 'A1OKMU27HBN9T3', 169), ('b', 'A3O9WZNVQSQC1S', 50), ('b', 'A399GYOD60WD7M', 277)]
a	['c', 'c', 'a', 'a', 'a']	11	what connect childhood and adulthood ?	adolescence	preparation of children for adult roles	[('c', 'A3O9WZNVQSQC1S', 46), ('c', 'A2P887RDKZ27ZF', 230), ('a', 'A34DYM8J0X5VK', 267), ('a', 'A3T9WZOUQGE2UW', 109), ('a', 'A399GYOD60WD7M', 231)]
a	['a', 'a', 'a', 'a', 'c']	19	who did they meet ?	editing for the front page	tom seaton	[('a', 'A399GYOD60WD7M', 309), ('a', 'A3T9WZOUQGE2UW', 133), ('a', 'A2P887RDKZ27ZF', 1394), ('a', 'A34DYM8J0X5VK', 98), ('c', 'A3O9WZNVQSQC1S', 42)]
a	['a', 'a', 'a', 'a', 'a']	21	meyer grew up where ?	universal parks & resorts .	unknown	[('a', 'A31CNXHGR49DJR', 146), ('a', 'A2P887RDKZ27ZF', 1004), ('a', 'A3T9WZOUQGE2UW', 173), ('a', 'A31ZLT6OHU6CRY', 738), ('a', 'A3O9WZNVQSQC1S', 65)]
a	['a', 'a', 'a', 'a', 'a']	30	what does he think of her as ?	a sister	silly boy	[('a', 'A3O9WZNVQSQC1S', 52), ('a', 'A399GYOD60WD7M', 370), ('a', 'A34DYM8J0X5VK', 166), ('a', 'A3T9WZOUQGE2UW', 101), ('a', 'A2P887RDKZ27ZF', 569)]
a	['a', 'a', 'c', 'a']	50	when should he supposed to have left ?	an hour ago	in a manner	[('a', 'A3O9WZNVQSQC1S', 54), ('a', 'A3T9WZOUQGE2UW', 128), ('c', 'A1OKMU27HBN9T3', 156), ('a', 'A2P887RDKZ27ZF', 1578)]
a	['a', 'c', 'a', 'a', 'a']	60	what 'd they use ?	a melon	wooden bat	[('a', 'A2P887RDKZ27ZF', 1750), ('c', 'A3O9WZNVQSQC1S', 51), ('a', 'A3T9WZOUQGE2UW', 279), ('a', 'A31ZLT6OHU6CRY', 387), ('a', 'A31CNXHGR49DJR', 530)]
a	['a', 'a', 'a', 'a', 'a']	69	who was at the wattchtower ?	the duke and alberic	guard	[('a', 'A3T9WZOUQGE2UW', 67), ('a', 'A399GYOD60WD7M', 236), ('a', 'A3O9WZNVQSQC1S', 44), ('a', 'A31CNXHGR49DJR', 188), ('a', 'A2P887RDKZ27ZF', 1275)]
a	['a', 'a', 'a', 'a', 'a']	72	where had he missed seeing smith ?	at the news	office	[('a', 'A3T9WZOUQGE2UW', 190), ('a', 'A31CNXHGR49DJR', 119), ('a', 'A31ZLT6OHU6CRY', 832), ('a', 'A2P887RDKZ27ZF', 953), ('a', 'A3O9WZNVQSQC1S', 48)]
a	['a', 'a', 'a', 'a', 'a']	74	if i were irish in the 1800s and going to america , what port would i likely leave from ?	liverpool	united states	[('a', 'A31ZLT6OHU6CRY', 762), ('a', 'A3T9WZOUQGE2UW', 112), ('a', 'A2P887RDKZ27ZF', 1188), ('a', 'A3O9WZNVQSQC1S', 47), ('a', 'A31CNXHGR49DJR', 91)]
a	['a', 'a', 'a', 'a', 'a']	80	what was the sun doing ?	rising	fishing	[('a', 'A2P887RDKZ27ZF', 1750), ('a', 'A3O9WZNVQSQC1S', 51), ('a', 'A3T9WZOUQGE2UW', 279), ('a', 'A31ZLT6OHU6CRY', 387), ('a', 'A31CNXHGR49DJR', 530)]
a	['a', 'a', 'a', 'a', 'a']	81	how many students ar named ?	four	unknown	[('a', 'A31CNXHGR49DJR', 146), ('a', 'A2P887RDKZ27ZF', 1004), ('a', 'A3T9WZOUQGE2UW', 173), ('a', 'A31ZLT6OHU6CRY', 738), ('a', 'A3O9WZNVQSQC1S', 65)]
a	['a', 'c', 'a', 'a', 'b']	98	how many activities is there to do there ?	three	horse riding , walking and fishing	[('a', 'A3T9WZOUQGE2UW', 67), ('c', 'A399GYOD60WD7M', 236), ('a', 'A3O9WZNVQSQC1S', 44), ('a', 'A31CNXHGR49DJR', 188), ('b', 'A2P887RDKZ27ZF', 1275)]
